model_group,variant,n,pass_rate,mean_recall,mean_precision,full_coverage_rate,pass_rate_given_full_coverage,pass_rate_given_partial_coverage,n_full_coverage,n_partial_coverage,mean_snippets_retrieved
Haiku (claude-haiku-4-5),P0,72,0.0,0.0,0.0,0.0,,0.0,0,72,0.0
Haiku (claude-haiku-4-5),P1,72,0.0278,0.0,0.0,0.0,,0.0278,0,72,0.0
Haiku (claude-haiku-4-5),P2,72,0.4306,0.4028,0.2002,0.2639,0.8947,0.2642,19,53,4.19
Haiku (claude-haiku-4-5),P3,72,0.7083,1.0,1.0,1.0,0.7083,,72,0,4.0
Haiku (claude-haiku-4-5),P4,72,0.75,0.5764,0.2463,0.3611,0.9231,0.6522,26,46,6.15
Haiku (claude-haiku-4-5),P5,72,0.7222,0.5833,0.2703,0.3056,0.7727,0.7,22,50,6.07
Haiku (claude-haiku-4-5),P6,72,0.6528,0.4653,0.224,0.2222,1.0,0.5536,16,56,5.21
"Codex (gpt-5.1-codex-mini, all bugs)",P0,56,0.0536,0.0,0.0,0.0,,0.0536,0,56,0.0
"Codex (gpt-5.1-codex-mini, all bugs)",P1,55,0.0727,0.0,0.0,0.0,,0.0727,0,55,0.0
"Codex (gpt-5.1-codex-mini, all bugs)",P2,56,0.375,0.0,0.0,0.0,,0.375,0,56,2.14
"Codex (gpt-5.1-codex-mini, all bugs)",P3,56,0.4107,1.0,1.0,1.0,0.4107,,56,0,4.0
"Codex (gpt-5.1-codex-mini, all bugs)",P4,56,0.25,0.0536,0.0228,0.0357,0.0,0.2593,2,54,2.38
"Codex (gpt-5.1-codex-mini, all bugs)",P5,56,0.3036,0.3393,0.1335,0.2321,0.1538,0.3488,13,43,4.73
"Codex (gpt-5.1-codex-mini, all bugs)",P6,55,0.4,0.3727,0.1345,0.2545,0.1429,0.4878,14,41,4.78
